['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 675)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 663)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 221)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 219)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 117)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 116)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 99)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 99)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 99)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 99)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 99)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 99)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 99)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 99)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 99)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 99)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 99)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 74)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 71)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 61)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 57)]
['200', '/data/uploads/2013/0422/08/51748b0ef04e8.JPG', ('42.92.56.130', 57)]
